scenario,t,agent,queue_length,average_waiting_time,open_counters,reward,cumulative_reward
easy,97,dqn,0.0,0.0,6.0,-2.0999999999999996,-201.64999999999966
easy,98,dqn,0.0,0.0,6.0,-2.0999999999999996,-203.74999999999966
easy,99,dqn,0.0,0.0,6.0,-2.0999999999999996,-205.84999999999965
easy,100,dqn,0.0,0.0,6.0,-2.0999999999999996,-207.94999999999965
medium,1,baseline,5.5,0.44000000000000006,1.0,-1.9400000000000002,-1.9400000000000002
medium,2,baseline,12.0,1.312,1.0,-4.112,-6.0520000000000005
medium,3,baseline,14.5,2.2096,1.0,-5.4596,-11.511600000000001
medium,4,baseline,19.0,3.28768,1.0,-7.43768,-18.94928
medium,5,baseline,22.0,3.5101440000000004,2.0,-8.660144000000003,-27.609424000000004
medium,6,baseline,17.5,3.2747818666666673,3.0,-7.824781866666667,-35.43420586666667
medium,7,baseline,13.5,2.889825493333334,4.0,-6.989825493333334,-42.42403136000001
medium,8,baseline,10.5,2.521860394666667,4.0,-6.071860394666667,-48.49589175466667
medium,9,baseline,4.5,2.1074883157333337,4.0,-4.4074883157333336,-52.903380070400004
medium,10,baseline,5.0,1.8193239859200003,3.0,-3.91932398592,-56.822704056320006
medium,11,baseline,5.0,1.6554591887360004,2.0,-3.3554591887360004,-60.178163245056005
medium,12,baseline,7.5,1.9243673509888004,1.0,-3.7743673509888005,-63.95253059604481
medium,13,baseline,13.0,2.5794938807910404,1.0,-5.57949388079104,-69.53202447683584
medium,14,baseline,14.5,3.2235951046328326,1.0,-6.4735951046328335,-76.00561958146868
medium,15,baseline,18.0,4.0188760837062665,1.0,-7.968876083706267,-83.97449566517494
medium,16,baseline,16.0,3.8551008669650133,2.0,-7.805100866965013,-91.77959653213995
medium,17,baseline,14.5,3.4707473602386774,3.0,-7.4207473602386775,-99.20034389237863
medium,18,baseline,11.0,3.0699312215242753,3.0,-6.369931221524276,-105.57027511390291
medium,19,baseline,9.5,2.709278310552754,3.0,-5.659278310552754,-111.22955342445566
medium,20,baseline,9.0,2.4074226484422034,3.0,-5.257422648442203,-116.48697607289786
medium,21,baseline,4.5,2.045938118753763,3.0,-3.9959381187537626,-120.48291419165162
